Artist Name,Album Name,Year of Release,Length (minutes),Artist Type,Genre,Female,Pop,Electronic,Experimental,Rock,My Score,Allmusic Score,musicOMH,Pitchfork,The Guardian,Metacritic
Planningtorock,Have it All,2006,37,Female solo,Experimental,1,0,0,1,0,100,80,,76,,
Planningtorock,W,2011,51,Female solo,Experimental,1,0,0,1,0,92,80,80,67,80,72
Planningtorock,All Love's Legal,2014,42.42,Female solo,Electronic,1,0,1,0,0,33,60,60,75,60,69
Quadron,Avalanche,2013,36,Group,Pop,0,1,0,0,0,70,90,,70,60,72
Rhye,Woman,2013,35.8,Group,Pop,0,1,0,0,0,70,80,80,85,80,79
Robyn,Robyn,2004,38.2,Female solo,Pop,1,1,0,0,0,86,90,90,82,,86
Robyn,Body Talk,2010,61.66,Female solo,Pop,1,1,0,0,0,66,80,90,87,80,86
Roisin Murphy,Ruby Blue,2005,48.23,Female solo,Experimental,1,0,0,1,0,58,80,,84,60,
Roisin Murphy,Overpowered,2007,59.82,Female solo,Pop,1,1,0,0,0,73,90,80,80,100,82
Roisin Murphy,Hairless Toys,2015,50.4,Female solo,Experimental,1,0,0,1,0,75,90,80,74,80,80
Roisin Murphy,Take Her Up to Monto,2016,46.97,Female solo,Experimental,1,0,0,1,0,78,80,80,78,60,77
Sia,Colour the Small One,2004,48.3,Female solo,Pop,1,1,0,0,0,50,60,60,73,70,77
Sia,Some People Have Real Problems,2008,59.25,Female solo,Pop,1,1,0,0,0,86,90,50,48,40,64
Sia,We are Born,2010,46.38,Female solo,Pop,1,1,0,0,0,75,80,,66,,68
SIa,1000 Forms of Fear,2015,48.68,Female solo,Pop,1,1,0,0,0,75,80,90,,60,76
Sia,This is Acting,2016,46.5,Female solo,Pop,1,1,0,0,0,46,70,60,68,60,67
Soap&Skin,Lovetune for Vacuum,2009,41.65,Female solo,Experimental,1,0,0,1,0,100,,80,76,,
Soap&Skin,Narrow,2012,28.97,Female solo,Experimental,1,0,0,1,0,67,,80,,,
St .Vincent,St. Vincent,2014,40.06,Female solo,Rock,1,0,0,0,1,81,80,100,86,100,89
St. Vincent,Masseduction,2017,41.6,Female solo,Rock,1,0,0,0,1,77,90,100,76,80,88
St. Vincent,Strange Mercy,2011,40.85,Female solo,Rock,1,0,0,0,1,73,80,80,90,80,85
The Knife,Silent Shout,2006,48.6,Group,Electronic,0,0,1,0,0,72,80,60,86,80,74
The Knife,Shaking the Habitual,2013,96.33,Group,Electronic,0,0,1,0,0,23,80,90,84,60,85
The xx,xx,2009,38.56,Group,Pop,0,1,0,0,0,72,80,90,87,80,87
tUnE-yArDs,nikki nack,2014,42.4,Female solo,Experimental,1,0,0,1,0,77,90,90,81,80,83
Yeah Yeah Yeahs,It's Blitz!,2009,42.89,Group,Rock,0,0,0,0,1,70,80,90,81,80,82
Yeah Yeah Yeahs,Mosquito,2013,47.5,Group,Rock,0,0,0,0,1,64,70,90,60,80,75
Yelle,Safari Disco Club,2011,42.4,Group,Pop,0,1,0,0,0,72,80,,,,69
